name,frequency,origin,gendered
Duszanov,127,patronymic,y
Duszkov,8,patronymic,y
Dvorec,26,nickname,n
Dvorny,21,nickname,y
Dvorski,27,nickname,y
Endrev,49,patronymic,y
Enjev,83,patronymic,y
Ernov,20,patronymic,y
Ferencev,266,patronymic,y
Filypov,140,patronymic,y
Francev,22,patronymic,y
Frankov,7,patronymic,y
Gaborov,226,patronymic,y
Gergejev,98,patronymic,y
Glazsicki,16,nickname,y
Glosnov,10,nickname,y
Glosny,25,nickname,y
Gloszan,5,nickname,n
Gloszec,10,nickname,n
Gloszek,20,nickname,n
Glova,13,nickname,n
Glovacz,12,nickname,n
Glovan,12,nickname,n
Glovec,6,nickname,n
Glovka,13,nickname,n
Gnilovodski,19,toponymic (common),y
Gora,12,nickname,n
Goran,25,nickname,n
Goranov,390,patronymic,y
Gordanov,46,patronymic,y
Gorec,21,nickname,n
Gorka,15,nickname,n
Gornov,10,nickname,y
Gorny,16,nickname,n
Gorski,7,nickname,y
Gowba,7,nickname,n
Gowbacz,16,nickname,n
Gowban,10,nickname,n
Gowbec,13,nickname,n
Gowbka,7,nickname,n
Gowbny,25,nickname,y
Greczek,23,nickname,n
Greczin,28,ethnicity,n
Grek,28,ethnicity,n
Grekov,25,ethnicity,y
Grezdenji,5,toponymic (noble),n
Grezdenski,10,toponymic (common),y
Grodec,12,nickname,n
Grodjimirov,6,patronymic,y
Grodsky,10,nickname,y
Gronczarj,26,occupation,n
Gronczarjev,8,occupation,y
Grusza,8,nickname,n
Gruszev,18,nickname,y
Gruszka,7,nickname,n
Gvjezdanov,4,patronymic,y
Hajduk,5,military,n
Hajdukov,15,military,y
Husar,26,military,n
Husarov,21,military,y
Ilijev,68,patronymic,y
Imrev,173,patronymic,y
Isztvanov,333,patronymic,y
Ivov,203,patronymic,y
Jadranov,16,patronymic,y
Jakobov,156,patronymic,y
Janoszev,256,patronymic,y
Janov,730,patronymic,y
Jaromirov,49,patronymic,y
Jaroslavov,303,patronymic,y
Jaximov,5,patronymic,y
Jezdarj,18,nickname,n
Jezdec,30,nickname,n
Jonasov,8,patronymic,y
Jozsefov,1000,patronymic,y
Karlov,32,patronymic,y
Karolov,332,patronymic,y
Kazimirov,6,patronymic,y
Klyczek,17,nickname,n
Klyk,15,nickname,n
Klykacz,17,nickname,n
Klykan,21,nickname,n
Klykov,11,nickname,y
Knjuz,14,nickname,n
Knjuzs,14,nickname,n
Knjuzsek,22,nickname,n
Kolov,30,nickname,y
Komarovici,5,toponymic (noble),n
Komarovicki,18,toponymic (common),y
Kornelov,11,patronymic,y
Kostov,12,patronymic,y
Kovacz,17,occupation,n
Kovaczev,30,occupation,y
Krasnec,18,nickname,n
Krasnov,23,nickname,y
Krasny,25,nickname,y
Kresimirov,36,patronymic,y
Kristov,36,patronymic,y
Krojacz,15,occupation,n
Krojaczev,30,occupation,y
Krol,27,nickname,n
Krolec,15,nickname,n
Krolek,6,nickname,n
Krolov,15,nickname,y
Kupcev,21,occupation,y
Kupec,19,occupation,n
Kvjet,26,nickname,n
Kvjetec,13,nickname,n
Kvjetek,8,nickname,n
Kvjetny,25,nickname,y
Kvjetov,29,nickname,y
Lajoszev,168,patronymic,y
Laslov,386,patronymic,y
Ljubanov,29,patronymic,y
Ljubinov,4,patronymic,y
Ljubomirov,114,patronymic,y
Ljuboszev,19,patronymic,y
Ljuszev,15,ethnicity,y
Ljux,25,ethnicity,n
Lorincev,9,patronymic,y
Lub,19,nickname,n
Lubacz,6,nickname,n
Luban,12,nickname,n
Lubec,14,nickname,n
Lubek,28,nickname,n
Lubny,21,nickname,y
Lubov,12,nickname,y
Lukov,120,patronymic,y
Madjar,22,ethnicity,n
Madjarov,28,ethnicity,y
Maksimov,7,patronymic,y
Malec,14,nickname,n
Malov,20,nickname,y
Maly,7,nickname,y
Manuelov,11,patronymic,y
Marekov,104,patronymic,y
Marianov,174,patronymic,y
Marinov,77,patronymic,y
Markov,429,patronymic,y
Martonov,65,patronymic,y
Martynov,409,patronymic,y
Meljnicz,10,occupation,y
Meljnik,20,occupation,n
Mikloszev,103,patronymic,y
Miladjinov,14,patronymic,y
Milanov,657,patronymic,y
Milivojev,4,patronymic,y
Miljanov,12,patronymic,y
Milodrogov,125,patronymic,y
Milomirov,25,patronymic,y
Miloradov,97,patronymic,y
Miloslavov,71,patronymic,y
Miloszev,114,patronymic,y
Milovanov,48,patronymic,y
Miluczinov,47,patronymic,y
Mirkov,157,patronymic,y
Miroljubov,41,patronymic,y
Miroslavov,495,patronymic,y
Mirov,23,patronymic,y
Mislavov,32,patronymic,y
Mixaelov,49,patronymic,y
Mjednicz,13,nickname,n
Mjednik,13,nickname,n
Mjedny,27,nickname,y
Mjusarj,18,occupation,n
Mjusarjev,23,occupation,y
Mlekarj,29,nickname,n
Mlodan,26,nickname,n
Mlodec,19,nickname,n
Mlodek,15,nickname,n
Mlodenov,181,patronymic,y
Mlodov,18,nickname,y
Mlody,5,nickname,y
Mlynarj,27,occupation,n
Mlynarjev,14,occupation,y
Mojmirov,4,patronymic,y
Nicz,12,nickname,n
Niczek,24,nickname,n
Niczev,10,nickname,y
Nikolov,384,patronymic,y
Njegovanov,5,patronymic,y
Njemcev,21,ethnicity,y
Njemczin,9,ethnicity,n
Njemec,6,ethnicity,n
Novec,14,nickname,n
Novek,29,nickname,n
Novov,28,nickname,y
Novy,6,nickname,y
Obradov,9,patronymic,y
Ognjec,29,nickname,n
Ognjek,8,nickname,n
Ognjenov,37,patronymic,y
Ognjev,24,nickname,y
Ozrenov,6,patronymic,y
Palov,120,patronymic,y
Panov,28,nickname,y
Pastyrj,15,occupation,n
Pastyrjev,11,occupation,y
Pavlov,544,patronymic,y
Pekarj,23,occupation,n
Pekarjev,13,occupation,y
Petrov,1190,patronymic,y
Pjevcev,12,occupation,y
Pjevec,25,occupation,n
Poljak,19,ethnicity,n
Poljakov,28,ethnicity,y
Pozden,8,nickname,n
Pozdenov,17,nickname,y
Prjevan,12,nickname,n
Prjevec,6,nickname,n
Prjevek,25,nickname,n
Prjevy,13,nickname,y
Prjumov,5,nickname,y
Prjumy,29,nickname,y
Puczaj,5,toponymic (noble),n
Puczanski,14,toponymic (common),y
Racz,7,ethnicity,n
Raczev,10,ethnicity,y
Raczimirov,15,patronymic,y
Raczin,6,ethnicity,n
Radekov,101,patronymic,y
Radenov,5,patronymic,y
Radjivojev,18,patronymic,y
Radkov,4,patronymic,y
Radmilov,11,patronymic,y
Radomilov,6,patronymic,y
Radomirov,50,patronymic,y
Radoslavov,88,patronymic,y
Radov,41,patronymic,y
Radovanov,77,patronymic,y
Radymov,47,patronymic,y
Rajkov,50,patronymic,y
Rankov,49,patronymic,y
Romanov,129,patronymic,y
Rosczislavov,27,patronymic,y
Rowczka,15,nickname,n
Rowka,13,nickname,n
Rowkan,13,nickname,n
Ryba,18,nickname,n
Rybacz,17,nickname,n
Ryban,24,nickname,n
Rybarj,23,occupation,n
Rybarjev,29,occupation,y
Rybec,20,nickname,n
Rybka,27,nickname,n
Rybny,23,nickname,y
Sandorov,167,patronymic,y
Sczur,16,nickname,n
Sczuran,10,nickname,n
Sczurec,13,nickname,n
Sczurek,11,nickname,n
Sczurov,28,nickname,y
Simonov,9,patronymic,y
Sinec,22,nickname,n
Sinov,27,nickname,y
Siny,25,nickname,y
Skorczinj,5,toponymic (noble),n
Skorczinski,15,toponymic (common),y
Skrubny,28,nickname,y
Skryna,25,nickname,n
Skrynarj,26,nickname,n
Skrynec,8,nickname,n
Skrynka,27,nickname,n
Slavenov,28,patronymic,y
Slavkov,84,patronymic,y
Sliva,11,nickname,n
Slivec,12,nickname,n
Slivek,30,nickname,n
Slivka,11,nickname,n
Slivov,6,nickname,y
Slobodanov,254,patronymic,y
Slodanov,6,patronymic,y
Smiljanov,8,patronymic,y
Smrud,12,nickname,n
Smrudny,8,nickname,y
Smrudov,13,nickname,y
Sokol,18,nickname,n
Sokolec,9,nickname,n
Sokolek,28,nickname,n
Sokolnicz,5,nickname,n
Sokolnik,7,nickname,n
Sokolov,28,nickname,y
Spodnov,15,nickname,y
Spodny,6,nickname,y
Stanislavov,118,patronymic,y
Stankov,55,patronymic,y
Starec,28,nickname,n
Starek,9,nickname,n
Starov,18,nickname,y
Stary,22,nickname,y
Stefanov,58,patronymic,y
Stojanov,25,patronymic,y
Sulnec,5,nickname,n
Sulnek,5,nickname,n
Sulno,6,nickname,n
Sulnov,16,nickname,y
Sunnov,20,nickname,y
Sunny,11,nickname,y
Sutnicz,14,nickname,n
Sutnik,23,nickname,n
Svjeczimirov,9,patronymic,y
Svjeczislavov,18,patronymic,y
Svjetlanov,4,patronymic,y
Svjetoplokov,11,patronymic,y
Svjetozarov,24,patronymic,y
Szamenici,5,toponymic (noble),n
Szamenicki,30,toponymic (common),y
Szatnicz,9,nickname,n
Szatnik,22,nickname,n
Tadejev,5,patronymic,y
Tamaszev,199,patronymic,y
Teodorov,12,patronymic,y
Tepelej,5,toponymic (noble),n
Tepeljski,5,toponymic (common),y
Tesarj,6,occupation,n
Tesarjev,27,occupation,y
Tkacz,28,occupation,n
Tkaczev,5,occupation,y
Tkadeljcev,18,occupation,y
Tkadlec,29,occupation,n
Tomaszev,255,patronymic,y
Tot,18,ethnicity,n
Totov,28,ethnicity,y
Turczin,18,ethnicity,n
Turk,22,ethnicity,n
Turkov,13,ethnicity,y
Tyborov,164,patronymic,y
Vaclavov,147,patronymic,y
Valentynov,4,patronymic,y
Veliborov,25,patronymic,y
Velimirov,56,patronymic,y
Veljkov,53,patronymic,y
Venc,6,ethnicity,n
Vencev,13,ethnicity,y
Veselinov,27,patronymic,y
Veselov,5,patronymic,y
Vilemov,9,patronymic,y
Vilmoszev,36,patronymic,y
Visztici,5,toponymic (noble),n
Viszticki,19,toponymic (common),y
Vitezj,12,nickname,n
Vitezlavov,18,patronymic,y
Vitezs,26,nickname,n
Vitomirov,26,patronymic,y
Vitov,27,patronymic,y
Vjekoslavov,31,patronymic,y
Vjeznicz,19,nickname,n
Vjeznik,6,nickname,n
Vlajkov,7,patronymic,y
Vlocz,10,nickname,n
Vloczec,9,nickname,n
Vloczek,27,nickname,n
Vlodanov,65,patronymic,y
Vlodjimirov,483,patronymic,y
Vlodjislavov,40,patronymic,y
Vlodov,71,patronymic,y
Vlok,25,nickname,n
Vlokov,14,nickname,y
Vlosczimilov,57,patronymic,y
Vlosczimirov,15,patronymic,y
Vlosczislavov,7,patronymic,y
Vloszin,26,ethnicity,n
Vlotkov,20,patronymic,y
Vlox,14,ethnicity,n
Vloxov,18,ethnicity,y
Vodnicz,26,nickname,n
Vodnik,27,nickname,n
Voislavov,79,patronymic,y
Vojaczek,26,nickname,n
Vojak,14,nickname,n
Vojakov,29,nickname,y
Vojkov,5,patronymic,y
Vron,22,nickname,n
Vronec,30,nickname,n
Vronov,18,nickname,y
Vtorec,13,nickname,n
Vtorov,22,nickname,y
Vtory,17,nickname,y
Xrovat,10,ethnicity,n
Xrovatov,9,ethnicity,y
Zarislavov,9,patronymic,y
Zarkov,36,patronymic,y
Zdjenkov,142,patronymic,y
Zdjenkov,69,patronymic,y
Zdjeslavov,11,patronymic,y
Zdrovenov,131,patronymic,y
Zelenec,22,nickname,n
Zelenov,5,nickname,y
Zeleny,16,nickname,y
Zjelimirov,8,patronymic,y
Zjeljov,157,patronymic,y
Zlotanov,8,patronymic,y
Zlotkov,126,patronymic,y
Zlotyborov,6,patronymic,y
Zmij,8,nickname,n
Zmijan,14,nickname,n
Zmijec,14,nickname,n
Zmijek,19,nickname,n
Zmijev,23,nickname,n
Zoltanov,247,patronymic,y
Zselezarj,26,nickname,n
Zselimirov,11,patronymic,y
Zseljev,34,patronymic,y
Zsigmondov,17,patronymic,y
Zsivkov,13,patronymic,y
Zsivoradov,6,patronymic,y
Zslutec,27,nickname,n
Zslutek,5,nickname,n
Zslutov,28,nickname,y
Zslutovodski,27,toponymic (common),y
Zslutovodyj,5,toponymic (noble),n
Zsluty,19,nickname,y
